3800 Engineering technologies/construction trades/mechanics and repairers

ID Major Bachelor Master Doctor
3201 Agriculture general  2194 301 14
3202 Agricultural business and management general 1124 66 1
3203 Agribusiness/agricultural business operations 2195 43 0
3204 Agricultural economics 1531 336 131
3205 Farm/farm and ranch management 171 6 0
3206 Agricultural/farm supplies retailing and wholesaling 1 0 0
3207 Agricultural business technology   36 2 0
3208 Agricultural business and management  81 8 0
3209 Agricultural mechanization    336 1 0
3210 Agricultural mechanics and equipment/machine technology     0 0 0
3211 Agricultural production operations 81 7 0
3212 Animal/livestock husbandry and production 193 1 0
3213 Aquaculture  58 41 12
3214 Crop production  75 0 0
3215 Dairy husbandry and production 2 0 0
3216 Horse husbandry/equine science and management  159 7 0
3217 Agroecology and sustainable agriculture  211 73 13
3218 Viticulture and enology   132 0 0
3219 Agricultural and food products processing       103 0 0
3220 Animal training 23 0 0
3221 Equestrian/equine studies  302 0 0
3222 Agricultural and domestic animal services other  1 0 0
3223 Applied horticulture/horticultural operations general 87 7 5
3224 Ornamental horticulture  28 6 6
3225 Landscaping and groundskeeping 132 2 0
3226 Plant nursery operations and management      2 0 0
3227 Turf and turfgrass management    94 4 0
3228 Floriculture/floristry operations and management  1 0 0
3229 Applied horticulture/horticultural business services other 32 0 0
3230 International agriculture   54 54 0
3231 Agricultural and extension education services   67 94 15
3232 Agricultural communication/journalism      422 27 0
3233 Agricultural public services other 53 5 0
3401 Computer and information sciences  20707 11217 648
3402 Artificial intelligence  11 204 31
3403 Information technology  10054 4988 57
3404 Informatics   1268 498 24
3405 Computer and information sciences  529 222 12
3406 Computer programming/programmer  918 40 5
3407 Computer programming specific applications 386 31 0
3408 Computer programming  vendor/product certification  27 0 0
3409 Computer programming  other 44 38 0
3410 Data processing and data processing technology/technician 136 11 0
3411 Information science/studies   8047 6856 164
3412 Computer systems analysis/analyst  1070 692 2
3413 Data entry/microcomputer applications  general  0 20 0
3414 Computer science      26313 12483 1003
3415 Web page digital/multimedia and information resources design   1217 556 0
3416 Data modeling/warehousing and database administration     130 766 0
3417 Computer graphics   721 285 0
3418 Modeling virtual environments and simulation  346 141 0
3419 Computer software and media applications other  262 194 1
3420 Computer systems networking and telecommunications   1352 726 3
3421 Network and system administration/administrator    392 66 0
3422 System networking and LAN/WAN management/manager 194 26 0
3423 Computer and information systems security/information assurance  3813 4926 43
3424 Web/multimedia management and webmaster 145 5 0
3425 Information technology project management  555 397 1
3426 Computer support specialist     5 0 0
3427 Computer/information tech services admin and management  other   771 813 0
3428 Computer and information sciences and support services other 185 267 23
